student_id;name;surname;email;phone_number;program_name;semester;study_mode
e61c6299-932c-4d45-9609-72505b883c82;Name_1;Surname_1;student1@example.com;+48 757 651 836;Program_1;4;Full-time
b51dfd22-8452-46a5-9563-d226bb93a871;Name_2;Surname_2;student2@example.com;+48 745 827 719;Program_2;6;Full-time
7db6b095-0422-4d3d-83cb-7f61f4c36307;Name_3;Surname_3;student3@example.com;+48 876 645 746;Program_3;6;Full-time
962b7e1a-edd9-44e3-8cdd-980647b694da;Name_4;Surname_4;student4@example.com;+48 303 583 533;Program_4;3;Full-time
70321138-e1a3-4314-b54a-d5bb2e7e45e8;Name_5;Surname_5;student5@example.com;+48 314 581 332;Program_5;8;Full-time
5f6264ce-00cb-4e1f-8c57-4983c7eb7c06;Name_6;Surname_6;student6@example.com;+48 191 404 353;Program_6;7;Part-time
0eecae1c-c34d-4366-8c98-7119d0fe3dd6;Name_7;Surname_7;student7@example.com;+48 846 786 593;Program_7;9;Part-time
8227407e-9d9f-4adb-8952-0a93bdcd7c37;Name_8;Surname_8;student8@example.com;+48 597 561 789;Program_8;3;Part-time
9cdb2ca2-dbc6-42a9-8e3b-494aef5f68f7;Name_9;Surname_9;student9@example.com;+48 925 763 158;Program_9;9;Part-time
d3183a26-ad00-48e8-b925-3b53d204ad81;Name_10;Surname_10;student10@example.com;+48 637 913 878;Program_10;9;Full-time
1f67a404-281d-4323-8177-99442af702a6;Name_11;Surname_11;student11@example.com;+48 544 498 597;Program_11;7;Part-time
a892ac0d-7578-440b-a734-b3eeebd3e3e2;Name_12;Surname_12;student12@example.com;+48 710 171 219;Program_12;4;Part-time
60468337-2493-4327-9dc5-c5565bc28a09;Name_13;Surname_13;student13@example.com;+48 546 553 458;Program_13;9;Part-time
d20eb9e0-f6ae-4297-8703-0fdb5625d62a;Name_14;Surname_14;student14@example.com;+48 288 553 287;Program_14;9;Full-time
28bc7bb9-e6d3-4984-b246-df1991a22167;Name_15;Surname_15;student15@example.com;+48 206 106 807;Program_15;4;Part-time
b088e7c6-95b1-4f08-96d6-9f4fc986afd4;Name_16;Surname_16;student16@example.com;+48 437 813 985;Program_16;4;Full-time
091ce0c6-6186-46e9-940d-f3253c1d26ec;Name_17;Surname_17;student17@example.com;+48 287 368 981;Program_17;3;Full-time
b9cdcf2d-3bcb-40d4-bd5b-9232e87b5072;Name_18;Surname_18;student18@example.com;+48 606 825 202;Program_18;3;Full-time
1e5bb5b4-42c0-4bfa-84f0-9f97dc6bbc05;Name_19;Surname_19;student19@example.com;+48 959 763 141;Program_19;7;Full-time
ef08ae52-6d37-43c6-9a5e-26184f27be71;Name_20;Surname_20;student20@example.com;+48 311 725 285;Program_20;6;Part-time
df644a1c-9288-4edb-99fd-632c8a4769b7;Name_21;Surname_21;student21@example.com;+48 142 412 398;Program_21;6;Full-time
98bb1657-e029-4dd4-9cc1-dec50791d944;Name_22;Surname_22;student22@example.com;+48 197 250 840;Program_22;10;Part-time
54795bbc-bc73-4229-9b93-f377297cf028;Name_23;Surname_23;student23@example.com;+48 221 469 442;Program_23;6;Full-time
7218a860-84b9-4554-872a-e7b18c7a49f3;Name_24;Surname_24;student24@example.com;+48 789 552 426;Program_24;1;Full-time
e093636d-c89a-45c8-8b46-8444b0a5e77b;Name_25;Surname_25;student25@example.com;+48 804 226 161;Program_25;1;Full-time
6cc51b5b-0fad-49d5-bcf0-27527a9bc379;Name_26;Surname_26;student26@example.com;+48 951 960 572;Program_26;2;Full-time
6991fc84-2204-46fe-94d0-3ea72ec7faed;Name_27;Surname_27;student27@example.com;+48 508 998 231;Program_27;6;Full-time
5d050e1e-a776-4ddd-90bd-1972db352352;Name_28;Surname_28;student28@example.com;+48 335 883 927;Program_28;9;Part-time
9a597ad0-3923-4303-9052-63e61d943ed3;Name_29;Surname_29;student29@example.com;+48 231 759 106;Program_29;8;Part-time
a91cdbad-bc52-4679-b921-961613e90810;Name_30;Surname_30;student30@example.com;+48 568 860 593;Program_30;8;Part-time
f813cee1-2eb7-4ea1-ab79-a3d98e034b19;Name_31;Surname_31;student31@example.com;+48 404 544 310;Program_31;8;Full-time
396208b1-5976-4d25-a4db-059a5c33ffbd;Name_32;Surname_32;student32@example.com;+48 167 173 786;Program_32;10;Full-time
218e34a5-86f6-4988-8238-c218aa637723;Name_33;Surname_33;student33@example.com;+48 788 814 767;Program_33;5;Part-time
e8032d97-53eb-43ea-a018-5031ffcdddd8;Name_34;Surname_34;student34@example.com;+48 449 625 462;Program_34;5;Part-time
23c089b4-7ad9-4ac3-bcff-57fdf146ae51;Name_35;Surname_35;student35@example.com;+48 341 343 738;Program_35;4;Part-time
a7628acb-a7e5-44a7-a7d6-f96e5e5f145c;Name_36;Surname_36;student36@example.com;+48 197 662 603;Program_36;9;Full-time
381bdacb-f717-440b-80dc-28f5eb3ed339;Name_37;Surname_37;student37@example.com;+48 745 585 565;Program_37;7;Part-time
78899210-228e-4842-809d-18a750b88730;Name_38;Surname_38;student38@example.com;+48 821 124 442;Program_38;7;Part-time
81e93b3d-c209-464e-91c4-8466ac7f21d9;Name_39;Surname_39;student39@example.com;+48 301 866 711;Program_39;9;Part-time
eeaa1720-9017-4a00-a525-2d52d7167321;Name_40;Surname_40;student40@example.com;+48 516 927 394;Program_40;9;Part-time
e01f3c13-1f1d-47a5-b72f-24bfab2e4a41;Name_41;Surname_41;student41@example.com;+48 892 283 251;Program_41;8;Part-time
94112045-77a4-4f44-8a1c-38c1b384d569;Name_42;Surname_42;student42@example.com;+48 283 464 108;Program_42;10;Full-time
ce30cfc4-26cb-40e3-a255-e384b1f7057b;Name_43;Surname_43;student43@example.com;+48 170 484 511;Program_43;4;Part-time
1621aa25-ec13-4a66-a530-2f8a232f9277;Name_44;Surname_44;student44@example.com;+48 291 888 363;Program_44;4;Part-time
8fabcb40-5eff-449d-8986-033b5d73f5f8;Name_45;Surname_45;student45@example.com;+48 579 464 943;Program_45;8;Full-time
494ce38c-226d-421d-9794-166c0c65dd61;Name_46;Surname_46;student46@example.com;+48 432 300 402;Program_46;5;Full-time
